エンティティ物理名,エンティティ論理名,備考,登録担当者,登録日付,更新担当者,更新時間
"ZT_OROSI_URI_KAIREN","卸売上会計連携データ","","fsol05","2010/10/07 19:54:53","fsol22","2011/01/26 20:10:47"
"ZT_RENTAL_HUNOU_HIS","レンタル不能履歴データ","","fsol05","2010/10/07 19:54:53","fsol10","2010/12/08 13:30:21"
"ZT_RENTAL_HUNOU_KANRI_DEL","レンタル不能管理削除データ","","fsol05","2010/10/07 19:54:53","fsol22","2011/01/26 20:11:26"
"ZT_SAKI_HIDUKE_KGTG","先日付小切手手形データ","","fsol05","2010/10/07 19:54:53","fsol10","2011/02/02 09:25:41"
"ZT_SAKI_HIDUKE_KGTG_IJYOU","手形・先日付小切手異常データ","","fsol05","2010/10/07 19:54:53","fsol22","2011/01/26 20:17:11"
"ZT_SAKI_HIDUKE_KGTG_YOSIN","先日付小切手手形与信データ","","fsol05","2010/10/07 19:54:53","fsol22","2011/01/26 20:18:03"
"ZT_SEI_IKKATU_IKAN","請求先一括移管データ","","fsol05","2010/10/07 19:54:53","fsol22","2011/01/26 20:18:54"
"ZT_SEI_TOK_KAIREN","請求得意会計連携データ","","fsol05","2010/10/07 19:54:53","fsol22","2011/01/26 20:19:25"
"ZT_SHN_BETU_NOUHIN","商品別納品データ","","fsol05","2010/10/07 19:54:53","fsol22","2011/01/26 20:22:05"
"ZT_SHN_BETU_NOUHIN_DBK","商品別納品データ_日次退避","","fsol05","2010/10/07 19:54:53","fsol22","2011/01/26 20:22:48"
"ZT_SHN_BETU_SIMEBI_RUI","商品別締日累積データ","","fsol05","2010/10/07 19:54:53","fsol10","2010/10/12 13:06:52"
"ZT_SHN_GEKKAN_RUI","商品月間累積データ","","fsol05","2010/10/07 19:54:53","fsol10","2010/10/12 11:58:47"
"ZT_SHN_GEKKAN_RUI_DBK","商品月間累積データ_日次退避","","fsol05","2010/10/07 19:54:53","fsol10","2010/10/12 11:59:26"
"ZT_SHN_HIS","商品履歴データ","","fsol05","2010/10/07 19:54:53","fsol22","2011/01/26 20:24:06"
"ZT_SHN_KAISYU_HIS","商品回収履歴データ","","fsol05","2010/10/07 19:54:53","fsol22","2011/01/26 20:24:46"
"ZT_SHN_KAISYU_KANRI","商品回収管理データ","","fsol05","2010/10/07 19:54:53","fsol22","2011/01/26 20:27:15"
"ZT_SHN_NOUHIN_NYUKIN","商品納品入金データ","","fsol05","2010/10/07 19:54:53","fsol22","2011/01/26 20:28:00"
"ZT_SHN_NOUHIN_NYUKIN_DBK","商品納品入金データ_日次退避","","fsol05","2010/10/07 19:54:53","fsol22","2011/01/26 20:28:29"
"ZT_SHN_NYUKIN_DENPYOU","商品入金伝票データ","","fsol05","2010/10/07 19:54:53","fsol22","2011/01/26 20:30:31"
"ZT_SHN_SEIKYU_KAKUTEI_HED","商品請求確定データ_ヘッダ","","fsol05","2010/10/07 19:54:53","fsol22","2011/01/26 20:32:46"
"ZT_SHN_SEIKYU_KAKUTEI_MEI","商品請求確定データ_明細","","fsol05","2010/10/07 19:54:53","fsol22","2011/01/26 20:33:39"
"ZT_SHN_SIMEBI_RUI","商品締日累積データ","","fsol05","2010/10/07 19:54:53","fsol05","2011/04/06 14:14:09"
"ZT_SHN_TYOUSEI_NEBIKI","商品調整値引データ","","fsol05","2010/10/07 19:54:53","fsol22","2011/01/26 20:34:46"
"ZT_SHN_TYOUSEI_NEBIKI_DBK","商品調整値引データ_日次退避","","fsol05","2010/10/07 19:54:53","fsol22","2011/01/26 20:35:18"
"ZT_SIMEK_NYUKIN_YOTEI","締客入金予定一覧データ","","fsol05","2010/10/07 19:54:53","fsol22","2011/01/26 20:37:53"
"ZT_SIMEK_SN_HUITTI","締客売掛請求・入金不一致データ","","fsol05","2010/10/07 19:54:53","fsol22","2011/01/25 17:00:44"
"ZT_SIMEK_SN_HUITTI_STS","締客売掛請求・入金不一致データ_状況","","fsol05","2010/10/07 19:54:53","fsol05","2010/12/27 11:21:39"
"ZT_SIMEK_TAIRYU","締客売掛金滞留データ","","fsol05","2010/10/07 19:54:53","fsol22","2011/01/25 17:01:16"
"ZT_SIMEK_TAIRYU_STS","締客売掛金滞留データ_状況","","fsol05","2010/10/07 19:54:53","fsol05","2010/12/27 11:19:15"
"ZT_SOTOZEI_KARI_DENPYOU","外税先消費税仮計上伝票データ","","fsol05","2010/10/07 19:54:53","fsol22","2011/01/25 18:19:49"
"ZT_TABUSYO_NYUKIN_ITIRAN","他部署入金一覧データ","","fsol05","2010/10/07 19:54:53","fsol22","2011/01/26 20:39:46"
"ZT_TOK_IKAN_KAIREN","得意先移管会計連携データ","","fsol05","2010/10/07 19:54:53","fsol22","2011/01/26 20:41:46"
"ZT_TOK_KBN_HENKOU","得意先区分変更データ","","fsol05","2010/10/07 19:54:53","fsol22","2011/01/26 20:49:44"
"ZT_TYOKU_GENKIN_URIKAKE","直販現金売掛データ","","fsol05","2010/10/07 19:54:53","fsol10","2010/10/12 11:59:54"
"ZT_TYOKU_SIZAI_KAIREN","直販資材未収会計連携データ","","fsol05","2010/10/07 19:54:53","fsol22","2011/01/26 20:50:41"
"ZT_TYOKU_URI_KAIREN","直販売上会計連携データ","","fsol05","2010/10/07 19:54:53","fsol22","2011/01/26 21:00:19"
"ZT_ZIDOU_NYUKIN","自動入金データ","","fsol05","2010/10/07 19:54:53","fsol22","2011/01/26 21:05:19"
"ZT_ZKN_HENKOU_INFO_HED","条件変更通知書データ_ヘッダ","","fsol05","2010/10/07 19:54:53","fsol09","2011/03/10 11:55:38"
"ZT_ZKN_HENKOU_INFO_MEI","条件変更通知書データ_明細","","fsol10","2010/12/20 15:03:36","fsol09","2011/03/10 11:57:41"
"ZV_CD_BUSYO05","部署コードビュー05","","base07","2010/12/10 11:35:01","fsol22","2011/01/26 21:08:45"
"ZV_CD_BUSYO06","部署コードビュー06","","base07","2010/12/10 11:37:42","fsol22","2011/01/26 21:09:21"
"ZV_CD_CHANNEL_BUNRUI01","チャネル分類コードビュー01","","fsol10","2011/02/09 19:03:56","fsol10","2011/02/09 19:07:41"
"ZV_CD_HINMOKU01","品目コードビュー01","","base07","2010/12/10 11:40:51","base07","2010/12/10 11:40:51"
"ZV_CD_HURIHURI_HED01","振込振分データヘッダコードビュー01","","base07","2010/12/10 15:30:08","fsol22","2011/01/26 21:10:33"
"ZV_CD_KAMOKU_SAIMOKU02","科目細目コードビュー02","","base07","2010/12/10 11:47:26","base03","2011/01/27 17:08:18"
"ZV_CD_KAMOKU02","科目コードビュー02","","base07","2010/12/10 11:48:12","fsol10","2011/02/28 17:24:30"
"ZV_CD_KEIZYOU_KAISYA01","計上会社コードビュー01","","fsol10","2011/01/14 11:37:06","fsol10","2011/01/14 11:37:06"
"ZV_CD_RENTAL_KAIIN_NO01","レンタル会員番号コードビュー01","","base07","2010/12/10 11:53:48","fsol22","2011/01/25 17:15:32"
"ZV_CD_RENTAL_KAIIN_NO02","レンタル会員番号コードビュー02","","base07","2010/12/10 11:57:55","base03","2010/12/22 14:11:53"
"ZV_CD_SEIKYU_KOUZA01","請求先口座コードビュー01","","base07","2010/12/10 13:13:34","fsol22","2011/01/26 21:12:03"
"ZV_CD_SEIKYU_KOUZA02","請求先口座コードビュー02","","base07","2010/12/10 13:19:53","fsol22","2011/01/26 21:12:53"
"ZV_CD_SEIKYU_KOUZA03","請求先口座コードビュー03","","fsol10","2011/02/16 18:19:56","fsol10","2011/02/16 18:19:56"
"ZV_CD_SEIKYU_SAKI02","請求先コードビュー02","","base07","2010/12/10 13:29:12","fsol22","2011/01/27 14:06:26"
"ZV_CD_SEIKYU_SAKI03","請求先コードビュー03","","base07","2010/12/10 13:34:41","fsol10","2011/02/23 16:19:08"
"ZV_CD_SEIKYU_SAKI04","請求先コードビュー04","","base07","2010/12/10 14:55:46","fsol22","2011/01/27 11:24:44"
"ZV_CD_SYAIN03","社員コードビュー03","","base07","2010/12/10 15:01:04","fsol22","2011/01/27 11:25:44"
"ZV_CD_TAX_RITU01","消費税率コードビュー01","","fsol05","2011/01/18 21:11:13","fsol05","2011/03/31 19:44:15"
"ZV_CD_TOK05","得意先コードビュー05","","base07","2010/12/10 15:11:08","fsol10","2011/03/02 17:06:08"
"ZV_CD_TOK07","得意先コードビュー07","","base07","2010/12/10 15:17:16","fsol10","2011/03/17 11:39:55"
"ZV_CD_ZIDOU_NYUKIN01","自動入金データコードビュー01","","base07","2010/12/10 15:24:28","base03","2010/12/21 16:41:39"
"ZV_IKKATU_MI_SYORI_NYUKIN","一括振込未処理入金一覧ビュー","","fsol10","2010/12/28 13:19:48","fsol22","2011/01/27 11:44:51"
"ZV_SEIKYU_SAKI_KOUZA_TRG","請求先口座対応ビュー_トリガー","","fsol10","2011/01/19 16:36:15","fsol10","2011/02/23 16:08:13"
"ZW_NEBIKI_TAX_CALC_WARN","値引消費税計算ワーニングワーク","","fsol05","2010/12/27 14:22:49","fsol22","2011/01/27 11:46:37"
"ZW_NEBIKI_TAX_HURIWAKE","値引消費税振分ワーク","","fsol05","2010/10/07 19:54:53","fsol05","2010/12/27 11:07:47"
"ZW_SEIKYU_YOTEI_LIST","請求予定リスト作成ワーク","","fsol05","2010/12/27 14:31:42","fsol22","2011/01/27 11:49:50"
"ZW_SIME_TAISYOU_TOK","締対象得意先ワーク","","fsol05","2010/10/07 19:54:53","fsol22","2011/01/27 11:54:11"
"ZW_SIMEK_NYUKIN_YOTEI","締客入金予定一覧ワーク","","fsol05","2010/10/07 19:54:53","fsol22","2011/01/27 11:56:10"
"ZX_KRRPT_HURIWAKE_TOK","経理日報振分得意先一時データ","","fsol10","2010/11/18 13:31:57","fsol10","2011/02/17 19:11:49"
"ZM_BUSYO_HOZYO","部署補助マスタ","","fsol10","2008/07/16 10:59:26","fsol10","2011/02/07 16:03:21"
"ZM_INFO","通知マスタ","","wt03","2008/08/08 16:26:34","fsol10","2011/01/19 18:07:20"
"ZM_SEIKYU_SAKI","請求先マスタ","","lpa01","2008/08/18 18:49:10","fsol12","2011/02/22 11:55:39"
"ZM_SEIKYU_SAKI_LOG","請求先マスタ_ログ","","lpa01","2008/08/19 10:39:59","fsol12","2011/02/22 11:59:35"
"ZM_SEIKYU_SAKI_PST","請求先マスタ_過去","","lpa01","2008/08/19 10:41:37","fsol12","2011/02/22 11:57:23"
"ZM_TOK_INFO","得意先情報マスタ","","lpa01","2008/08/18 19:36:08","fsol10","2011/01/19 18:25:09"
"ZV_CD_SEIKYU_SAKI01","請求先コードビュー01","","lpa02","2008/09/10 17:58:54","fsol05","2011/02/22 20:22:51"
"ZV_CD_TOK02","得意先コードビュー02","2011.01.07 ADS3次：破産_更生_区分 追加
","lpa01","2008/09/08 19:44:14","fsol05","2011/03/24 19:36:27"
"ZV_SEIKYU_SAKI_TRG","請求先ビュー_トリガー","","lpa01","2008/11/12 14:22:08","fsol05","2011/04/05 18:25:23"
"ZV_TOK_TRG","得意先ビュー_トリガー","","lpa01","2008/11/18 16:25:45","fsol05","2011/04/05 16:13:45"
"ZT_RENTAL_HUNOU_ZISSEKI","レンタル不能実績データ","レンタル引落が不能であった結果データ","fsol05","2009/03/19 15:28:21","fsol09","2011/01/20 11:35:15"
"ZM_ADSSIWAKE_PTN","ADS仕訳パターンマスタ","会社コードは、'10'（DyDo本体）固定で絞り込む","fsol07","2011/02/23 20:45:22","fsol07","2011/03/17 14:51:53"
"ZM_CHAIN","チェーンマスタ","流通リベート","fsol07","2011/01/19 12:22:20","fsol07","2011/04/06 16:14:48"
"ZM_CHAIN_LOG","チェーンマスタ_ログ","流通リベート","fsol07","2011/01/19 12:22:20","fsol07","2011/03/08 20:26:04"
"ZM_HAISOU","配送先マスタ","流通リベート","fsol07","2011/01/19 12:22:20","fsol07","2011/03/08 20:26:20"
"ZM_KIGYOU_HAISOU","企業配送先設定マスタ","流通リベート","fsol07","2011/01/19 12:22:20","fsol07","2011/04/06 16:10:01"
"ZM_KIGYOU_HAISOU_LOG","企業配送先設定マスタ_ログ","流通リベート","fsol07","2011/01/19 12:22:20","fsol07","2011/03/08 20:24:03"
"ZM_KIGYOU1","企業１マスタ","流通リベート","fsol07","2011/01/19 12:22:20","fsol07","2011/04/06 16:11:11"
"ZM_KIGYOU1_GRP","企業１グループマスタ","流通リベート","fsol07","2011/01/19 12:22:20","fsol07","2011/04/06 16:11:44"
"ZM_KIGYOU1_GRP_LOG","企業１グループマスタ_ログ","流通リベート","fsol07","2011/01/19 12:22:20","fsol07","2011/03/08 20:23:27"
"ZM_KIGYOU1_LOG","企業１マスタ_ログ","流通リベート","fsol07","2011/01/19 12:22:20","fsol07","2011/03/08 20:24:28"
"ZM_KIGYOU2","企業２マスタ","流通リベート","fsol07","2011/01/19 12:22:20","fsol07","2011/04/06 16:12:17"
"ZM_KIGYOU2_GRP","企業２グループマスタ","流通リベート","fsol07","2011/01/19 12:22:20","fsol07","2011/04/06 16:12:48"
"ZM_KIGYOU2_GRP_LOG","企業２グループマスタ_ログ","流通リベート","fsol07","2011/01/19 12:22:20","fsol07","2011/03/08 20:24:53"
"ZM_KIGYOU2_LOG","企業２マスタ_ログ","流通リベート","fsol07","2011/01/19 12:22:20","fsol07","2011/03/08 20:25:00"
"ZM_KOUZA_INFO","口座情報マスタ","共通（支払先マスタの振込元口座、経費口座への振込元口座、現金渡しの場合の出金口座に使用）","fsol07","2011/01/19 12:22:20","fsol07","2011/04/06 16:15:33"
"ZM_OBOEGAKI_HIMOKU","覚書費目マスタ","覚書・支払","fsol07","2011/01/19 12:22:20","fsol07","2011/03/08 20:10:08"
"ZM_OBOEGAKI_HIMOKU_S","覚書費目詳細マスタ","覚書・支払","fsol07","2011/01/19 12:22:20","fsol07","2011/04/06 16:06:51"
"ZM_OBOEGAKI_YOUSIKI","覚書様式マスタ","覚書・支払","fsol07","2011/01/19 12:22:20","fsol07","2011/03/08 20:09:50"
"ZM_RHSK_HIMOKU","流通販促費目マスタ","流通リベート","fsol07","2011/01/19 12:22:20","fsol07","2011/03/08 20:28:45"
"ZM_SEIKYU_SIHA_TAIOU","請求先支払先対応マスタ","覚書・支払","fsol07","2011/01/19 12:22:20","fsol07","2011/03/08 20:13:33"
"ZM_SIHA","支払先マスタ","経理WFで登録された支払先マスタ","fsol05","2009/03/19 15:28:21","fsol07","2011/03/08 19:53:18"
"ZM_SIHA_INFO","支払先（支払先情報）マスタ","覚書・支払・流通リベート","fsol07","2011/01/19 12:22:20","fsol07","2011/03/08 19:53:33"
"ZM_SIHA_KOUZA","支払先（口座情報）マスタ","覚書・支払・流通リベート","fsol07","2011/01/19 12:22:20","fsol07","2011/04/06 15:29:18"
"ZM_SIHA_ZKN","支払先（支払条件）マスタ","覚書・支払・流通リベート","fsol07","2011/01/19 12:22:20","fsol07","2011/03/08 19:53:55"
"ZM_SINSEI_KAISYA_KEIZYOU","申請会社計上マスタ","共通","fsol07","2011/01/23 15:15:41","fsol07","2011/03/08 20:29:45"
"ZM_TORIHIKI_SIHA_TAIOU","取引先支払先対応マスタ","覚書・支払","fsol07","2011/01/19 12:22:20","fsol07","2011/03/08 19:56:20"
"ZM_TSKSIHA_HED","定時請求固定支払マスタ_ヘッダ","覚書・支払","fsol07","2011/01/19 12:22:20","fsol07","2011/03/08 19:58:11"
"ZM_TSKSIHA_HUTAN","定時請求固定支払マスタ_負担情報","覚書・支払","fsol07","2011/01/19 12:22:20","fsol07","2011/03/08 19:59:15"
"ZM_TSKSIHA_MEI","定時請求固定支払マスタ_明細","覚書・支払","fsol07","2011/01/19 12:22:20","fsol07","2011/03/08 19:58:32"
"ZM_TYOUAI","帳合先マスタ","流通リベート","fsol07","2011/01/19 12:22:20","fsol07","2011/04/06 16:14:06"
"ZM_TYOUAI_LOG","帳合先マスタ_ログ","流通リベート","fsol07","2011/01/19 12:22:20","fsol07","2011/03/08 20:25:34"
"ZT_HOKEN_NYUKIN_REN","保険入金連携データ","覚書・支払","fsol07","2011/01/19 12:22:20","fsol07","2011/03/23 16:38:53"
"ZT_HUTAN_INFO","負担情報データ","覚書・支払・流通リベート","fsol07","2011/01/19 12:22:20","fsol07","2011/03/08 19:56:54"
"ZT_HUTAN_INFO_ZENKAI_HIS","負担情報前回履歴データ","覚書・支払・流通リベート","fsol07","2011/01/25 21:01:18","fsol07","2011/03/08 20:31:55"
"ZT_KSRPT_FO_AZUSIHA_MEI1","経費出納日報フルオペ預り金支払データ_明細1","覚書・支払","fsol12","2011/01/28 19:01:53","lpa03","2011/03/18 16:43:39"
"ZT_KSRPT_FO_AZUSIHA_MEI2","経費出納日報フルオペ預り金支払データ_明細2","覚書・支払","fsol12","2011/01/28 19:02:45","fsol07","2011/03/08 20:16:15"
"ZT_KSRPT_FO_AZUSIHA_MEI3","経費出納日報フルオペ預り金支払データ_明細3","覚書・支払
※ＦＯ預り金関連見直しにて追加","fsol12","2011/01/28 19:04:19","fsol07","2011/03/08 20:30:08"
"ZT_KSRPT_SINSEI_HED","経費出納日報申請データ_ヘッダ","覚書・支払","fsol07","2011/01/19 12:22:20","fsol07","2011/03/08 20:14:30"
"ZT_KSRPT_SINSEI_MEI","経費出納日報申請データ_明細","覚書・支払","fsol07","2011/01/19 12:22:20","lpa00","2011/03/16 13:27:04"
"ZT_KURADASI","蔵出データ","流通リベート","fsol07","2011/01/19 12:22:20","fsol07","2011/03/08 20:26:55"
"ZT_OBOEGAKI_INFO_HED","覚書情報テーブル_ヘッダ","覚書・支払","fsol07","2011/01/19 12:22:20","fsol07","2011/04/06 15:53:08"
"ZT_OBOEGAKI_INFO_MEI","覚書情報テーブル_明細","覚書・支払","fsol07","2011/01/19 12:22:20","fsol07","2011/03/08 20:03:59"
"ZT_OBOEGAKI_KGIRE_LIST","覚書期限切れリストデータ","覚書・支払","fsol07","2011/01/19 12:22:20","fsol07","2011/03/15 00:08:49"
"ZT_OBOEGAKI_NAI_HSKIN","覚書内容テーブル（販売奨励金）","覚書・支払","fsol07","2011/01/19 12:22:20","fsol07","2011/04/06 15:54:06"
"ZT_OBOEGAKI_NAI_KRHEN","覚書内容テーブル（関連費援助）","覚書・支払","fsol07","2011/01/19 12:22:20","lpa03","2011/03/18 16:35:57"
"ZT_OBOEGAKI_NAI_KYOUTU","覚書内容テーブル（共通用）","覚書・支払","fsol07","2011/01/19 12:22:20","fsol07","2011/04/06 15:56:34"
"ZT_OBOEGAKI_NAI_LSIEN","覚書内容テーブル（ロケ支援等）","覚書・支払","fsol07","2011/01/19 12:22:20","fsol07","2011/04/06 15:57:15"
"ZT_OBOEGAKI_NAI_MEI","覚書内容テーブル_明細","覚書・支払","fsol07","2011/01/19 12:22:20","fsol07","2011/04/06 16:05:16"
"ZT_OBOEGAKI_NAI_SKRBT_HED","覚書内容テーブル（商品拡販リベート）_ヘッダ","覚書・支払","fsol07","2011/01/19 12:22:20","fsol07","2011/04/06 16:00:43"
"ZT_OBOEGAKI_NAI_SKRBT_MEI","覚書内容テーブル（商品拡販リベート）_明細","覚書・支払","fsol07","2011/01/19 12:22:20","fsol07","2011/04/06 16:01:04"
"ZT_OBOEGAKI_SIHA","覚書支払データ","覚書・支払","fsol07","2011/01/19 12:22:20","fsol07","2011/03/08 20:04:46"
"ZT_RRBT_ZKN_HED","流通リベート条件テーブル_ヘッダ","流通リベート","fsol07","2011/01/19 12:22:20","fsol07","2011/04/06 16:16:56"
"ZT_RRBT_ZKN_MEI1","流通リベート条件テーブル_明細1","流通リベート","fsol07","2011/01/19 12:22:20","fsol07","2011/04/06 16:17:42"
"ZT_RRBT_ZKN_MEI2","流通リベート条件テーブル_明細2","流通リベート","fsol07","2011/01/19 12:22:20","fsol07","2011/04/06 16:18:19"
"ZT_RYOHI_KARIKIN_ZANDAKA","旅費仮払金残高データ","覚書・支払","fsol07","2011/01/19 12:22:20","lpa00","2011/03/24 16:29:22"
"ZT_SHN_BETU_NH_GEKKAN_RUI","商品別納品本数月間累積データ","覚書・支払","fsol07","2011/01/23 14:42:45","fsol07","2011/03/08 20:32:05"
"ZT_SIHA_KAIKEI_REN","支払先会計連携データ","覚書・支払","fsol07","2011/01/19 12:22:20","fsol07","2011/04/06 15:29:43"
"ZT_SIHA_TRKHEN_SINSEI","支払先登録変更申請データ","覚書・支払","fsol07","2011/01/19 12:22:20","lpa00","2011/03/09 09:48:54"
"ZT_TEIZIA_KAIKEI_REN_HED","定時払A会計連携データ_ヘッダ","覚書・支払","fsol07","2011/01/19 12:22:20","fsol07","2011/03/08 20:10:44"
"ZT_TEIZIA_KAIKEI_REN_MEI","定時払A会計連携データ_明細","覚書・支払","fsol07","2011/01/19 12:22:20","fsol07","2011/03/16 19:58:42"
"ZT_TEIZIBE_SINSEI_HED","定時ＢＥ申請データ_ヘッダ","覚書・支払","fsol07","2011/01/19 12:22:20","fsol07","2011/04/06 15:30:08"
"ZT_TEIZIBE_SINSEI_MEI","定時ＢＥ申請データ_明細","覚書・支払","fsol07","2011/01/19 12:22:20","fsol07","2011/03/08 20:32:15"
"ZT_TEIZIC_SINSEI_HED","覚書支払申請データ_ヘッダ","覚書・支払","fsol07","2011/01/19 12:22:20","fsol07","2011/03/08 20:11:24"
"ZT_TEIZIC_SINSEI_MEI1","覚書支払申請データ_明細1","覚書・支払","fsol07","2011/01/19 12:22:20","lpa00","2011/03/22 09:37:43"
"ZT_TEIZIC_SINSEI_MEI2","覚書支払申請データ_明細2","覚書・支払","fsol07","2011/01/19 12:22:20","fsol07","2011/03/08 20:11:46"
"ZT_TEIZIC_SINSEI_MEI3","覚書支払申請データ_明細3","覚書・支払","fsol07","2011/01/19 12:22:20","lpa00","2011/03/25 13:14:42"
"ZT_TEIZIH_REN","定時Ｈ連携データ","覚書・支払","fsol07","2011/01/19 12:22:20","fsol07","2011/03/08 20:03:15"
"ZT_TEIZIH_SINSEI_HED","定時Ｈ申請データ_ヘッダ","覚書・支払","fsol07","2011/01/19 12:22:20","fsol07","2011/03/08 20:02:19"
"ZT_TEIZIH_SINSEI_MEI","定時Ｈ申請データ_明細","覚書・支払","fsol07","2011/01/19 12:22:20","fsol07","2011/03/08 20:02:49"
"ZT_TEIZIR_SINSEI_HED","流通リベート支払申請データ_ヘッダ","流通リベート","fsol07","2011/01/19 12:22:20","fsol07","2011/04/06 15:30:50"
"ZT_TEIZIR_SINSEI_KANBUN","流通リベート支払申請蔵出数按分データ","流通リベート","fsol07","2011/01/19 12:22:20","fsol07","2011/03/08 20:12:37"
"ZT_TEIZIR_SINSEI_MEI1","流通リベート支払申請データ_明細1","流通リベート","fsol07","2011/01/19 12:22:20","lpa03","2011/03/16 19:41:24"
"ZT_TEIZIR_SINSEI_MEI2","流通リベート支払申請データ_明細2","流通リベート","fsol07","2011/01/19 12:22:20","fsol07","2011/03/08 20:12:56"
"ZT_TEIZIR_SINSEI_MEI3","流通リベート支払申請データ_明細3","流通リベート","fsol07","2011/01/19 12:22:20","fsol07","2011/03/08 20:13:06"
"ZT_TKSIHA_KHEN_SINSEI_HED","定時固定開始変更申請データ_ヘッダ","覚書・支払","fsol07","2011/01/19 12:22:20","lpa00","2011/03/25 13:11:19"
"ZT_TKSIHA_KHEN_SINSEI_MEI","定時固定開始変更申請データ_明細","覚書・支払","fsol07","2011/01/19 12:22:20","fsol07","2011/03/08 20:01:01"
"ZT_TMYKN_NYUKIN_SINSEI","手持預金入金申請データ","覚書・支払","fsol07","2011/01/19 12:22:20","fsol07","2011/03/08 20:14:05"
"ZT_TOK_BETU_KURADASI","得意先別蔵出データ","流通リベート","fsol07","2011/01/19 12:22:20","fsol07","2011/03/08 20:27:37"
"ZT_TSSIHA_KHEN_SINSEI_HED","定時請求開始変更申請データ_ヘッダ","覚書・支払","fsol07","2011/01/19 12:22:20","lpa03","2011/03/16 14:05:09"
"ZT_TSSIHA_KHEN_SINSEI_MEI","定時請求開始変更申請データ_明細","覚書・支払","fsol07","2011/01/19 12:22:20","lpa03","2011/03/16 14:05:45"
"ZT_TYOUMAEKANRI_ERR","長期前払金管理データ_エラー","覚書・支払","fsol07","2011/01/19 12:22:20","fsol07","2011/03/08 20:21:47"
"ZT_TYOUMAEKANRI_HED","長期前払金管理データ_ヘッダ","覚書・支払","fsol07","2011/01/19 12:22:20","fsol07","2011/03/09 18:43:29"
"ZT_TYOUMAEKANRI_MEI1","長期前払金管理データ_明細1","覚書・支払","fsol07","2011/01/19 12:22:20","fsol07","2011/03/08 20:21:58"
"ZT_TYOUMAEKANRI_MEI2","長期前払金管理データ_明細2","覚書・支払","fsol07","2011/01/19 12:22:20","fsol07","2011/03/08 20:22:08"
"ZT_ZUIZIS_SINSEI_HED","随時支払依頼申請データ_ヘッダ","覚書・支払","fsol07","2011/01/19 12:22:20","fsol07","2011/03/08 19:57:22"
"ZT_ZUIZIS_SINSEI_MEI","随時支払依頼申請データ_明細","覚書・支払","fsol07","2011/01/19 12:22:20","fsol07","2011/03/09 09:16:11"
"ZT_CARD_AZUKARIKIN_RUI","カード預り金累積データ","覚書・支払
※ＦＯ預り金関連見直しにて追加","fsol12","2011/01/24 21:10:15","fsol12","2011/03/09 09:57:12"
"ZT_FO_AZUKARIKIN","フルオペ預り金データ","覚書・支払、入金・債権","fsol05","2010/10/07 19:54:53","fsol12","2011/03/09 10:06:05"
"ZT_SK_DAIKOU_SEIKYU_HED","総括代行分請求データ_ヘッダ","覚書・支払、入金・債権","fsol05","2010/10/07 19:54:53","fsol12","2011/03/09 10:06:13"
"ZT_SK_DAIKOU_SEIKYU_MEI","総括代行分請求データ_明細","覚書・支払、入金・債権","fsol05","2010/10/07 19:54:53","fsol12","2011/03/09 10:06:21"
"ZT_SK_SEIKYU_KAKUTEI_HED","総括請求確定データ_ヘッダ","覚書・支払、入金・債権","fsol05","2010/10/07 19:54:53","fsol12","2011/03/09 10:06:28"
"ZT_SK_SEIKYU_KAKUTEI_MEI1","総括請求確定データ_明細1","覚書・支払、入金・債権","fsol05","2010/10/07 19:54:53","fsol12","2011/03/09 10:06:35"
"ZT_SK_SEIKYU_KAKUTEI_MEI2","総括請求確定データ_明細2","覚書・支払、入金・債権","fsol05","2010/10/07 19:54:53","fsol12","2011/03/09 10:06:42"
"ZT_SK_SEIKYU_NYUKIN","総括先請求入金データ","覚書・支払、入金・債権","fsol05","2010/10/07 19:54:53","fsol12","2011/03/09 10:06:50"
"ZT_TEIZIJ_SINSEI_HED","覚書総括支払申請データ_ヘッダ","覚書・支払","fsol07","2011/01/19 12:22:20","fsol12","2011/03/09 09:59:20"
"ZT_TEIZIJ_SINSEI_MEI","覚書総括支払申請データ_明細","覚書・支払","fsol07","2011/01/19 12:22:20","lpa00","2011/03/22 09:37:58"
"ZT_URI_HOUKOKU_BAIKA_HIS","売上報告（売価）データ_履歴","覚書・支払","fsol23","2011/02/25 10:24:19","fsol12","2011/03/09 10:07:34"
"ZT_ZUIZID_SINSEI_HED","フルオペ預り金支払申請データ_ヘッダ","覚書・支払","fsol12","2011/01/28 19:21:22","fsol12","2011/03/09 09:59:47"
"ZT_ZUIZID_SINSEI_MEI1","フルオペ預り金支払申請データ_明細1","覚書・支払","fsol12","2011/01/28 19:26:09","lpa03","2011/03/18 16:44:06"
"ZT_ZUIZID_SINSEI_MEI2","フルオペ預り金支払申請データ_明細2","覚書・支払","fsol12","2011/01/28 19:27:50","fsol12","2011/03/09 09:59:59"
"ZT_ZUIZID_SINSEI_MEI3","フルオペ預り金支払申請データ_明細3","覚書・支払
※ＦＯ預り金関連見直しにて追加","fsol12","2011/01/28 19:32:22","lpa03","2011/03/18 16:44:32"
"ZT_J_SINSEI_GAMEN_NAIYOU","J申請画面内容一時保存","覚書・支払","lpa00","2011/03/09 10:14:35","fsol12","2011/04/05 19:34:28"
